u	species	component_id	score
GCF_000517605.1_ASM51760v1|WP_025396357.1	Rhizobium leguminosarum	53	0.000000
GCF_000012345.1_ASM1234v1|WP_006997657.1	Pelagibacter ubique	53	0.000000
GCF_002073495.2_ASM207349v2|WP_000855526.1	Leptospira interrogans	53	0.000000
GCF_000007685.1_ASM768v1|WP_000855526.1	Leptospira interrogans	53	0.000000
GCF_000007105.1_ASM710v1|WP_011240074.1	Zymomonas mobilis	53	0.000000
GCF_000498655.1_ASM49865v1|WP_011240074.1	Zymomonas mobilis	53	0.000000
GCF_000005845.2_ASM584v2|NP_414615.4	Escherichia coli	444	0.000000
GCF_000009085.1_ASM908v1|YP_002345084.1	Campylobacter jejuni	444	0.000000
GCF_000007685.1_ASM768v1|WP_000799846.1	Leptospira interrogans	444	0.000000
GCF_002073495.2_ASM207349v2|WP_000799846.1	Leptospira interrogans	444	0.000000
GCF_000011865.1_ASM1186v1|WP_002867509.1	Campylobacter jejuni	444	0.000000
GCF_000005845.2_ASM584v2|NP_414620.1	Escherichia coli	1375	0.000000
GCF_000006945.2_ASM694v2|NP_459122.1	Salmonella enterica	1375	0.000000
GCF_000005845.2_ASM584v2|NP_414622.1	Escherichia coli	934	0.000000
GCF_000006945.2_ASM694v2|NP_459123.1	Salmonella enterica	934	0.000000
GCF_000007545.1_ASM754v1|WP_000762406.1	Salmonella enterica	934	0.000000
GCF_000009885.1_ASM988v1|WP_004145952.1	Klebsiella pneumoniae	934	0.000000
GCF_000240185.1_ASM24018v2|YP_005225100.1	Klebsiella pneumoniae	934	0.000000
GCF_000006645.1_ASM664v1|WP_002210447.1	Yersinia pestis	934	0.000000
GCF_000222975.1_ASM22297v1|WP_002210447.1	Yersinia pestis	934	0.000000
GCF_000005845.2_ASM584v2|NP_414625.1	Escherichia coli	1943	0.000000
GCF_000006945.2_ASM694v2|NP_459126.1	Salmonella enterica	1943	0.000000
GCF_000007545.1_ASM754v1|WP_000625651.1	Salmonella enterica	1943	0.000000
GCF_000009885.1_ASM988v1|WP_002888550.1	Klebsiella pneumoniae	1943	0.000000
GCF_000005845.2_ASM584v2|NP_414626.1	Escherichia coli	1376	0.000000
GCF_000009885.1_ASM988v1|WP_002888559.1	Klebsiella pneumoniae	1376	0.000000
GCF_000240185.1_ASM24018v2|YP_005225104.1	Klebsiella pneumoniae	1376	0.000000
GCF_000005845.2_ASM584v2|NP_414629.1	Escherichia coli	698	0.000000
GCF_000007545.1_ASM754v1|WP_000964138.1	Salmonella enterica	698	0.000000
GCF_000006945.2_ASM694v2|NP_459130.1	Salmonella enterica	698	0.000000
GCF_000009885.1_ASM988v1|WP_002888562.1	Klebsiella pneumoniae	698	0.000000
GCF_000240185.1_ASM24018v2|YP_005225107.1	Klebsiella pneumoniae	698	0.000000
GCF_000006645.1_ASM664v1|WP_002210437.1	Yersinia pestis	698	0.000000
GCF_000222975.1_ASM22297v1|WP_002210437.1	Yersinia pestis	698	0.000000
GCF_000005845.2_ASM584v2|NP_414636.1	Escherichia coli	935	0.000000
GCF_000006945.2_ASM694v2|NP_459137.1	Salmonella enterica	935	0.000000
GCF_000007545.1_ASM754v1|WP_000588463.1	Salmonella enterica	935	0.000000
GCF_000009885.1_ASM988v1|WP_002888625.1	Klebsiella pneumoniae	935	0.000000
GCF_000240185.1_ASM24018v2|YP_005225115.1	Klebsiella pneumoniae	935	0.000000
GCF_000006645.1_ASM664v1|WP_002210431.1	Yersinia pestis	935	0.000000
GCF_000222975.1_ASM22297v1|WP_002210431.1	Yersinia pestis	935	0.000000
GCF_000005845.2_ASM584v2|NP_414637.1	Escherichia coli	563	0.000000
GCF_000006945.2_ASM694v2|NP_459138.1	Salmonella enterica	563	0.000000
GCF_000009885.1_ASM988v1|WP_002888628.1	Klebsiella pneumoniae	563	0.000000
GCF_000240185.1_ASM24018v2|YP_005225116.1	Klebsiella pneumoniae	563	0.000000
GCF_000007545.1_ASM754v1|WP_000462798.1	Salmonella enterica	563	0.000000
GCF_000006645.1_ASM664v1|WP_002210430.1	Yersinia pestis	563	0.000002
GCF_000222975.1_ASM22297v1|WP_002210430.1	Yersinia pestis	563	0.000002
GCF_000005845.2_ASM584v2|NP_414638.1	Escherichia coli	1246	0.000000
GCF_000006945.2_ASM694v2|NP_459139.1	Salmonella enterica	1246	0.000000
GCF_000007545.1_ASM754v1|WP_000595474.1	Salmonella enterica	1246	0.000000
GCF_000009885.1_ASM988v1|WP_002888632.1	Klebsiella pneumoniae	1246	0.000000
GCF_000006645.1_ASM664v1|WP_002228285.1	Yersinia pestis	1246	0.000000
GCF_000222975.1_ASM22297v1|WP_002228285.1	Yersinia pestis	1246	0.000000
GCF_000005845.2_ASM584v2|NP_414640.1	Escherichia coli	1377	0.000000
GCF_000006645.1_ASM664v1|WP_002210426.1	Yersinia pestis	1377	0.000000
GCF_000222975.1_ASM22297v1|WP_002210426.1	Yersinia pestis	1377	0.000000
GCF_000005845.2_ASM584v2|NP_414646.1	Escherichia coli	564	0.000000
GCF_000016645.1_ASM1664v1|WP_012025391.1	Flavobacterium johnsoniae	564	4.252787
GCF_030388325.1_ASM3038832v1|WP_289876815.1	Flavobacterium johnsoniae	564	1.989278
GCF_000005845.2_ASM584v2|NP_414656.1	Escherichia coli	936	0.000000
GCF_000006645.1_ASM664v1|WP_002209329.1	Yersinia pestis	936	0.000000
GCF_000222975.1_ASM22297v1|WP_002209329.1	Yersinia pestis	936	0.000000
GCF_000005845.2_ASM584v2|NP_414658.1	Escherichia coli	699	0.000000
GCF_000006945.2_ASM694v2|NP_459159.1	Salmonella enterica	699	0.000000
GCF_000007545.1_ASM754v1|WP_001527420.1	Salmonella enterica	699	0.000000
GCF_000009885.1_ASM988v1|WP_002888731.1	Klebsiella pneumoniae	699	0.000000
GCF_000240185.1_ASM24018v2|YP_005225140.1	Klebsiella pneumoniae	699	0.000000
GCF_000006645.1_ASM664v1|WP_002209332.1	Yersinia pestis	699	0.000000
GCF_000222975.1_ASM22297v1|WP_002209332.1	Yersinia pestis	699	0.000000
GCF_000006745.1_ASM674v1|WP_000031529.1	Vibrio cholerae	699	0.000000
GCF_008369605.1_ASM836960v1|WP_000031534.1	Vibrio cholerae	699	0.000000
GCF_000005845.2_ASM584v2|NP_414660.1	Escherichia coli	119	0.000000
GCF_000006945.2_ASM694v2|NP_459163.1	Salmonella enterica	119	0.000000
GCF_000240185.1_ASM24018v2|YP_005225145.1	Klebsiella pneumoniae	119	0.000000
GCF_000009885.1_ASM988v1|WP_002888735.1	Klebsiella pneumoniae	119	0.000000
GCF_000006645.1_ASM664v1|WP_002209333.1	Yersinia pestis	119	0.000000
GCF_000222975.1_ASM22297v1|WP_002209333.1	Yersinia pestis	119	0.000000
GCF_000006745.1_ASM674v1|WP_000888585.1	Vibrio cholerae	119	0.000000
GCF_008369605.1_ASM836960v1|WP_149560474.1	Vibrio cholerae	119	0.000000
GCF_000021045.1_ASM2104v1|WP_012700933.1	Azotobacter vinelandii	119	0.000000
GCF_000380335.1_ASM38033v1|WP_012700933.1	Azotobacter vinelandii	119	0.000000
GCF_000006765.1_ASM676v1|NP_250478.1	Pseudomonas aeruginosa	119	0.000000
GCF_000014625.1_ASM1462v1|WP_003087875.1	Pseudomonas aeruginosa	119	0.000000
GCF_000007565.2_ASM756v2|WP_010953302.1	Pseudomonas putida	119	0.000000
GCF_000412675.1_ASM41267v1|WP_041167795.1	Pseudomonas putida	119	0.000000
GCF_009035845.1_ASM903584v1|WP_000888596.1	Acinetobacter baumannii	119	0.000000
GCF_000018445.1_ASM1844v1|WP_000888596.1	Acinetobacter baumannii	119	0.000000
GCF_022869645.1_ASM2286964v1|WP_002229716.1	Neisseria meningitidis	119	0.000000
GCF_000008805.1_ASM880v1|WP_002222205.1	Neisseria meningitidis	119	0.000000
GCF_000193595.2_ASM19359v3|WP_010930699.1	Bordetella pertussis	119	0.000000
GCF_004008975.1_ASM400897v1|WP_010930699.1	Bordetella pertussis	119	0.000000
GCF_000007925.1_ASM792v1|WP_011126015.1	Prochlorococcus marinus	119	0.000000
GCF_000005845.2_ASM584v2|NP_414662.1	Escherichia coli	1378	0.000000
GCF_000006945.2_ASM694v2|NP_459170.1	Salmonella enterica	1378	0.000000
GCF_000009885.1_ASM988v1|WP_002888739.1	Klebsiella pneumoniae	1378	0.000000
GCF_000240185.1_ASM24018v2|YP_005225147.1	Klebsiella pneumoniae	1378	0.000000
GCF_000005845.2_ASM584v2|NP_414667.4	Escherichia coli	3867	0.000000
GCF_000006645.1_ASM664v1|WP_002223179.1	Yersinia pestis	3867	0.000000
GCF_000005845.2_ASM584v2|NP_414668.1	Escherichia coli	2225	0.000000
GCF_000009885.1_ASM988v1|WP_002888821.1	Klebsiella pneumoniae	2225	0.000000
GCF_000240185.1_ASM24018v2|YP_005225161.1	Klebsiella pneumoniae	2225	0.000000
GCF_000005845.2_ASM584v2|NP_414669.1	Escherichia coli	222	0.153426
GCF_000008285.1_ASM828v1|WP_003724409.1	Listeria monocytogenes	222	1.028813
GCF_000007785.1_ASM778v1|WP_002354809.1	Enterococcus faecalis	222	1.635646
GCF_000172575.2_ASM17257v2|WP_002354809.1	Enterococcus faecalis	222	1.381322
GCF_000196035.1_ASM19603v1|NP_464194.1	Listeria monocytogenes	222	1.095997
GCF_000007685.1_ASM768v1|WP_000666552.1	Leptospira interrogans	222	0.000000
GCF_002073495.2_ASM207349v2|WP_000666552.1	Leptospira interrogans	222	0.000000
GCF_000005845.2_ASM584v2|NP_414670.1	Escherichia coli	565	0.000000
GCF_000007785.1_ASM778v1|WP_002354811.1	Enterococcus faecalis	565	0.000000
GCF_000172575.2_ASM17257v2|WP_002354811.1	Enterococcus faecalis	565	0.000000
GCF_000196035.1_ASM19603v1|NP_464195.1	Listeria monocytogenes	565	0.000000
GCF_000005845.2_ASM584v2|NP_414687.1	Escherichia coli	445	0.000000
GCF_000006945.2_ASM694v2|NP_459191.1	Salmonella enterica	445	0.000000
GCF_000007545.1_ASM754v1|WP_001155232.1	Salmonella enterica	445	0.000000
GCF_000009885.1_ASM988v1|WP_002888845.1	Klebsiella pneumoniae	445	0.000000
GCF_000240185.1_ASM24018v2|YP_005225172.1	Klebsiella pneumoniae	445	0.000000
GCF_000006645.1_ASM664v1|WP_002209354.1	Yersinia pestis	445	0.000000
GCF_000222975.1_ASM22297v1|WP_002209354.1	Yersinia pestis	445	0.000000
GCF_000006745.1_ASM674v1|WP_000140367.1	Vibrio cholerae	445	0.000000
GCF_008369605.1_ASM836960v1|WP_000140367.1	Vibrio cholerae	445	0.000000
GCF_000006765.1_ASM676v1|NP_253411.1	Pseudomonas aeruginosa	445	0.000000
GCF_000014625.1_ASM1462v1|WP_003095122.1	Pseudomonas aeruginosa	445	0.000000
GCF_000021045.1_ASM2104v1|WP_012702755.1	Azotobacter vinelandii	445	0.000000
GCF_000380335.1_ASM38033v1|WP_012702755.1	Azotobacter vinelandii	445	0.000000
GCF_000005845.2_ASM584v2|NP_414696.1	Escherichia coli	2226	0.000000
GCF_000007545.1_ASM754v1|WP_000045264.1	Salmonella enterica	2226	0.000000
GCF_000006945.2_ASM694v2|NP_459207.1	Salmonella enterica	2226	0.000000
GCF_000005845.2_ASM584v2|NP_414698.1	Escherichia coli	937	0.000000
GCF_000007545.1_ASM754v1|WP_001278668.1	Salmonella enterica	937	0.000000
GCF_000006945.2_ASM694v2|NP_459209.3	Salmonella enterica	937	0.000000
GCF_000009885.1_ASM988v1|WP_002889275.1	Klebsiella pneumoniae	937	0.000000
GCF_000240185.1_ASM24018v2|YP_005225205.1	Klebsiella pneumoniae	937	0.000000
GCF_000006645.1_ASM664v1|WP_002209365.1	Yersinia pestis	937	0.000000
GCF_000222975.1_ASM22297v1|WP_002209365.1	Yersinia pestis	937	0.000000
GCF_000005845.2_ASM584v2|NP_414699.1	Escherichia coli	938	0.000000
GCF_000006645.1_ASM664v1|WP_002209366.1	Yersinia pestis	938	0.000000
GCF_000222975.1_ASM22297v1|WP_002209366.1	Yersinia pestis	938	0.000000
GCF_000005845.2_ASM584v2|NP_414701.1	Escherichia coli	700	0.000000
GCF_000013425.1_ASM1342v1|YP_500212.1	Staphylococcus aureus	700	0.000000
GCF_000005845.2_ASM584v2|NP_414705.1	Escherichia coli	2227	0.000000
GCF_000009885.1_ASM988v1|WP_002889292.1	Klebsiella pneumoniae	2227	0.000000
GCF_000240185.1_ASM24018v2|YP_005225212.1	Klebsiella pneumoniae	2227	0.000000
GCF_000005845.2_ASM584v2|NP_414708.1	Escherichia coli	149	0.000000
GCF_000009885.1_ASM988v1|WP_002889295.1	Klebsiella pneumoniae	149	0.000000
GCF_000240185.1_ASM24018v2|YP_005225213.1	Klebsiella pneumoniae	149	0.000000
GCF_000006645.1_ASM664v1|WP_002212128.1	Yersinia pestis	149	0.000000
GCF_000222975.1_ASM22297v1|WP_002212128.1	Yersinia pestis	149	0.000000
GCF_000018445.1_ASM1844v1|WP_000080867.1	Acinetobacter baumannii	149	0.000000
GCF_009035845.1_ASM903584v1|WP_000080867.1	Acinetobacter baumannii	149	0.000000
GCF_000008805.1_ASM880v1|WP_002224875.1	Neisseria meningitidis	149	0.000000
GCF_022869645.1_ASM2286964v1|WP_002226039.1	Neisseria meningitidis	149	0.000000
GCF_004008975.1_ASM400897v1|WP_003812536.1	Bordetella pertussis	149	0.000000
GCF_000193595.2_ASM19359v3|WP_003812536.1	Bordetella pertussis	149	0.000000
GCF_000008485.1_ASM848v1|WP_010946623.1	Legionella pneumophila	149	0.000000
GCF_001941585.1_ASM194158v1|WP_010946623.1	Legionella pneumophila	149	0.000000
GCF_000007125.1_ASM712v1|WP_002965622.1	Brucella melitensis	149	0.000000
GCF_000022625.1_ASM2262v1|WP_004685944.1	Brucella melitensis	149	0.000000
GCF_000021345.1_ASM2134v1|WP_012556408.1	Rhizobium leguminosarum	149	0.000000
GCF_000517605.1_ASM51760v1|WP_025392931.1	Rhizobium leguminosarum	149	0.000000
GCF_000016645.1_ASM1664v1|WP_012024590.1	Flavobacterium johnsoniae	149	0.000000
GCF_000220625.1_ASM22062v1|WP_013998351.1	Capnocytophaga canimorsus	149	0.000000
GCF_002302565.1_ASM230256v1|WP_013998351.1	Capnocytophaga canimorsus	149	0.000000
GCF_030388325.1_ASM3038832v1|WP_057118644.1	Flavobacterium johnsoniae	149	0.000000
GCF_000005845.2_ASM584v2|NP_414710.1	Escherichia coli	2228	0.000000
GCF_000009885.1_ASM988v1|WP_002889297.1	Klebsiella pneumoniae	2228	0.000000
GCF_000240185.1_ASM24018v2|YP_005225215.1	Klebsiella pneumoniae	2228	0.000000
GCF_000005845.2_ASM584v2|NP_414711.1	Escherichia coli	363	0.000000
GCF_000009885.1_ASM988v1|WP_002889299.1	Klebsiella pneumoniae	363	0.000000
GCF_000240185.1_ASM24018v2|YP_005225216.1	Klebsiella pneumoniae	363	0.000000
GCF_000006945.2_ASM694v2|NP_459221.1	Salmonella enterica	363	0.000000
GCF_000007545.1_ASM754v1|WP_000246886.1	Salmonella enterica	363	0.000000
GCF_000006645.1_ASM664v1|WP_002221800.1	Yersinia pestis	363	0.000000
GCF_000222975.1_ASM22297v1|WP_002221800.1	Yersinia pestis	363	0.000000
GCF_000006745.1_ASM674v1|WP_000179228.1	Vibrio cholerae	363	0.000000
GCF_008369605.1_ASM836960v1|WP_000179228.1	Vibrio cholerae	363	0.000000
GCF_000006765.1_ASM676v1|NP_252346.1	Pseudomonas aeruginosa	363	0.000000
GCF_000014625.1_ASM1462v1|WP_003092394.1	Pseudomonas aeruginosa	363	0.000000
GCF_000005845.2_ASM584v2|NP_414712.1	Escherichia coli	1379	0.000000
GCF_000006945.2_ASM694v2|NP_459222.1	Salmonella enterica	1379	0.000000
GCF_000007545.1_ASM754v1|WP_000808106.1	Salmonella enterica	1379	0.000000
GCF_000009885.1_ASM988v1|WP_004151930.1	Klebsiella pneumoniae	1379	0.000000
GCF_000240185.1_ASM24018v2|YP_005225217.1	Klebsiella pneumoniae	1379	0.000000
GCF_000005845.2_ASM584v2|NP_414713.1	Escherichia coli	364	0.000000
GCF_000006945.2_ASM694v2|NP_459223.1	Salmonella enterica	364	0.000000
GCF_000007545.1_ASM754v1|WP_000224567.1	Salmonella enterica	364	0.000000
GCF_000009885.1_ASM988v1|WP_002889306.1	Klebsiella pneumoniae	364	0.000000
GCF_000240185.1_ASM24018v2|YP_005225218.1	Klebsiella pneumoniae	364	0.000000
GCF_000006645.1_ASM664v1|WP_002212133.1	Yersinia pestis	364	0.000000
GCF_000222975.1_ASM22297v1|WP_002212133.1	Yersinia pestis	364	0.000000
GCF_000006745.1_ASM674v1|WP_000210548.1	Vibrio cholerae	364	0.118506
GCF_008369605.1_ASM836960v1|WP_000210548.1	Vibrio cholerae	364	0.118506
GCF_000005845.2_ASM584v2|NP_414722.1	Escherichia coli	1380	0.000000
GCF_000006945.2_ASM694v2|NP_459232.1	Salmonella enterica	1380	0.000000
GCF_000007545.1_ASM754v1|WP_000210741.1	Salmonella enterica	1380	0.000000
GCF_000009885.1_ASM988v1|WP_004145858.1	Klebsiella pneumoniae	1380	0.000000
GCF_000240185.1_ASM24018v2|YP_005225227.1	Klebsiella pneumoniae	1380	0.000000
GCF_000005845.2_ASM584v2|NP_414726.1	Escherichia coli	939	0.000000
GCF_000007545.1_ASM754v1|WP_001294828.1	Salmonella enterica	939	0.000000
GCF_000006945.2_ASM694v2|NP_459236.1	Salmonella enterica	939	0.000000
GCF_000240185.1_ASM24018v2|YP_005225231.1	Klebsiella pneumoniae	939	0.000000
GCF_000009885.1_ASM988v1|WP_004177353.1	Klebsiella pneumoniae	939	0.000000
GCF_000005845.2_ASM584v2|NP_414727.1	Escherichia coli	701	0.000000
GCF_000006945.2_ASM694v2|NP_459237.1	Salmonella enterica	701	0.000000
GCF_000007545.1_ASM754v1|WP_000055753.1	Salmonella enterica	701	0.000000
GCF_000009885.1_ASM988v1|WP_004145855.1	Klebsiella pneumoniae	701	0.000000
GCF_000240185.1_ASM24018v2|YP_005225232.1	Klebsiella pneumoniae	701	0.000000
GCF_000006645.1_ASM664v1|WP_002212147.1	Yersinia pestis	701	0.000000
GCF_000222975.1_ASM22297v1|WP_002212147.1	Yersinia pestis	701	0.000000
GCF_000005845.2_ASM584v2|NP_414736.1	Escherichia coli	3868	0.000000
GCF_000009885.1_ASM988v1|WP_012737427.1	Klebsiella pneumoniae	3868	0.000000
GCF_000240185.1_ASM24018v2|YP_005225241.1	Klebsiella pneumoniae	3868	0.000000
GCF_000005845.2_ASM584v2|NP_414739.1	Escherichia coli	702	0.000000
GCF_000006645.1_ASM664v1|WP_002212159.1	Yersinia pestis	702	0.000000
GCF_000222975.1_ASM22297v1|WP_002212159.1	Yersinia pestis	702	0.000000
GCF_000016645.1_ASM1664v1|WP_012025960.1	Flavobacterium johnsoniae	702	0.000000
GCF_000005845.2_ASM584v2|NP_414740.1	Escherichia coli	703	0.000000
GCF_000006645.1_ASM664v1|WP_002212160.1	Yersinia pestis	703	0.000000
GCF_000222975.1_ASM22297v1|WP_002212160.1	Yersinia pestis	703	0.000000
GCF_000016645.1_ASM1664v1|WP_012025961.1	Flavobacterium johnsoniae	703	0.000000
GCF_030388325.1_ASM3038832v1|WP_289878146.1	Flavobacterium johnsoniae	703	0.000000
GCF_000005845.2_ASM584v2|NP_414745.1	Escherichia coli	3869	0.000000
GCF_000006945.2_ASM694v2|NP_459256.1	Salmonella enterica	3869	0.000000
GCF_000005845.2_ASM584v2|NP_414757.1	Escherichia coli	704	0.000000
GCF_000006945.2_ASM694v2|NP_459308.1	Salmonella enterica	704	0.000000
GCF_000007545.1_ASM754v1|WP_000284051.1	Salmonella enterica	704	0.000000
GCF_000006645.1_ASM664v1|WP_002208720.1	Yersinia pestis	704	0.000000
GCF_000222975.1_ASM22297v1|WP_002208720.1	Yersinia pestis	704	0.000000
GCF_000005845.2_ASM584v2|NP_414773.1	Escherichia coli	940	0.000000
GCF_000006945.2_ASM694v2|NP_459314.1	Salmonella enterica	940	0.000000
GCF_000007545.1_ASM754v1|WP_001292018.1	Salmonella enterica	940	0.000000
GCF_000009885.1_ASM988v1|WP_002889733.1	Klebsiella pneumoniae	940	0.000000
GCF_000240185.1_ASM24018v2|YP_005225276.1	Klebsiella pneumoniae	940	0.000000
GCF_000006645.1_ASM664v1|WP_002208704.1	Yersinia pestis	940	0.000000
GCF_000222975.1_ASM22297v1|WP_002208704.1	Yersinia pestis	940	0.000000
GCF_000005845.2_ASM584v2|NP_414793.2	Escherichia coli	417	0.000000
GCF_000013425.1_ASM1342v1|YP_499334.1	Staphylococcus aureus	417	0.000000
GCF_000240185.1_ASM24018v2|YP_005227872.1	Klebsiella pneumoniae	417	0.000000
GCF_000006745.1_ASM674v1|WP_000019370.1	Vibrio cholerae	417	0.000000
GCF_000005845.2_ASM584v2|NP_414818.1	Escherichia coli	3870	0.000000
GCF_000517605.1_ASM51760v1|WP_025396876.1	Rhizobium leguminosarum	3870	0.000000
GCF_000005845.2_ASM584v2|NP_414819.1	Escherichia coli	3871	0.000000
GCF_000517605.1_ASM51760v1|WP_025396877.1	Rhizobium leguminosarum	3871	0.000000
GCF_000005845.2_ASM584v2|NP_414820.1	Escherichia coli	341	0.000000
GCF_000517605.1_ASM51760v1|WP_025396878.1	Rhizobium leguminosarum	341	0.000000
GCF_000005845.2_ASM584v2|NP_414824.1	Escherichia coli	2229	0.000000
GCF_000240185.1_ASM24018v2|YP_005225330.1	Klebsiella pneumoniae	2229	0.000000
GCF_000009885.1_ASM988v1|WP_012737468.1	Klebsiella pneumoniae	2229	0.000000
