u	v	shared_kmers	jaccard	species_u	species_v
GCF_000005845.2_ASM584v2|NP_414608.1	GCF_000006765.1_ASM676v1|NP_252912.1	7	0.008872	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414608.1	GCF_000006765.1_ASM676v1|NP_253284.1	7	0.015801	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414608.1	GCF_000006765.1_ASM676v1|NP_252137.1	6	0.012903	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414613.1	GCF_000006765.1_ASM676v1|NP_251810.1	23	0.060526	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414614.1	GCF_000006765.1_ASM676v1|NP_251811.1	74	0.086449	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414615.4	GCF_000006765.1_ASM676v1|NP_251808.1	27	0.039359	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414620.1	GCF_000006765.1_ASM676v1|NP_253383.1	14	0.046358	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414622.1	GCF_000006765.1_ASM676v1|NP_252253.1	14	0.021909	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414624.1	GCF_000006765.1_ASM676v1|NP_253110.1	29	0.049404	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414626.1	GCF_000006765.1_ASM676v1|NP_253108.1	9	0.007840	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414626.1	GCF_000006765.1_ASM676v1|NP_250962.1	6	0.005277	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414627.1	GCF_000006765.1_ASM676v1|NP_253107.1	38	0.040685	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414628.1	GCF_000006765.1_ASM676v1|NP_253106.1	13	0.014656	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414629.1	GCF_000006765.1_ASM676v1|NP_253105.1	61	0.093991	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414630.1	GCF_000006765.1_ASM676v1|NP_253104.1	35	0.041617	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414631.1	GCF_000006765.1_ASM676v1|NP_253103.1	12	0.015171	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414632.1	GCF_000006765.1_ASM676v1|NP_253102.1	18	0.026316	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414633.1	GCF_000006765.1_ASM676v1|NP_253101.1	55	0.060706	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414633.1	GCF_000006765.1_ASM676v1|NP_252709.1	6	0.006479	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414634.1	GCF_000006765.1_ASM676v1|NP_253100.1	16	0.026711	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414636.1	GCF_000006765.1_ASM676v1|NP_253098.1	9	0.011002	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414637.1	GCF_000006765.1_ASM676v1|NP_253097.1	54	0.075736	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414638.1	GCF_000006765.1_ASM676v1|NP_253096.1	28	0.049123	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414640.1	GCF_000006765.1_ASM676v1|NP_253093.1	134	0.080096	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414640.1	GCF_000006765.1_ASM676v1|NP_249725.1	6	0.006309	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414645.1	GCF_000006765.1_ASM676v1|NP_253219.1	9	0.023077	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414649.1	GCF_000006765.1_ASM676v1|NP_251367.1	29	0.029087	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414649.1	GCF_000006765.1_ASM676v1|NP_253897.1	25	0.024510	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414649.1	GCF_000006765.1_ASM676v1|NP_253216.1	23	0.023139	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414649.1	GCF_000006765.1_ASM676v1|NP_251793.1	19	0.020343	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414649.1	GCF_000006765.1_ASM676v1|NP_249377.1	18	0.019956	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414649.1	GCF_000006765.1_ASM676v1|NP_249086.1	8	0.010165	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414650.1	GCF_000006765.1_ASM676v1|NP_251790.1	6	0.019868	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414651.1	GCF_000006765.1_ASM676v1|NP_253214.1	18	0.032668	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414652.1	GCF_000006765.1_ASM676v1|NP_253212.1	14	0.040346	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414654.1	GCF_000006765.1_ASM676v1|NP_251690.1	98	0.119804	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414654.1	GCF_000006765.1_ASM676v1|NP_249557.1	88	0.105897	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414655.1	GCF_000006765.1_ASM676v1|NP_253457.1	9	0.018293	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414656.1	GCF_000006765.1_ASM676v1|NP_253702.1	87	0.052033	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414657.1	GCF_000006765.1_ASM676v1|NP_253703.1	33	0.031489	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414657.1	GCF_000006765.1_ASM676v1|NP_250277.1	8	0.008511	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414657.1	GCF_000006765.1_ASM676v1|NP_250149.1	7	0.005477	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414657.1	GCF_000006765.1_ASM676v1|NP_253060.1	6	0.006085	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414657.1	GCF_000006765.1_ASM676v1|NP_253534.1	6	0.008633	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414658.1	GCF_000006765.1_ASM676v1|NP_250940.1	10	0.010893	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414658.1	GCF_000006765.1_ASM676v1|NP_250278.1	9	0.009646	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414658.1	GCF_000006765.1_ASM676v1|NP_253516.1	7	0.007576	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414660.1	GCF_000006765.1_ASM676v1|NP_250478.1	311	0.220099	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414662.1	GCF_000006765.1_ASM676v1|NP_249345.1	60	0.131004	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414663.1	GCF_000006765.1_ASM676v1|NP_250378.1	21	0.038674	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414666.1	GCF_000006765.1_ASM676v1|NP_250980.1	22	0.014040	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414668.1	GCF_000006765.1_ASM676v1|NP_253365.1	14	0.034063	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414669.1	GCF_000006765.1_ASM676v1|NP_251502.1	57	0.103448	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414669.1	GCF_000006765.1_ASM676v1|NP_252726.1	7	0.011686	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414669.1	GCF_000006765.1_ASM676v1|NP_252362.1	6	0.010017	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414669.1	GCF_000006765.1_ASM676v1|NP_250637.1	6	0.007481	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414669.1	GCF_000006765.1_ASM676v1|NP_253939.1	6	0.006515	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414670.1	GCF_000006765.1_ASM676v1|NP_251501.1	26	0.054280	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414673.1	GCF_000006765.1_ASM676v1|NP_253419.1	7	0.029787	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414675.1	GCF_000006765.1_ASM676v1|NP_253418.1	22	0.041199	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414676.1	GCF_000006765.1_ASM676v1|NP_253417.1	13	0.025641	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414684.1	GCF_000006765.1_ASM676v1|NP_253416.1	6	0.019672	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414685.4	GCF_000006765.1_ASM676v1|NP_253415.1	27	0.030168	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414686.3	GCF_000006765.1_ASM676v1|NP_253412.1	8	0.013722	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414687.1	GCF_000006765.1_ASM676v1|NP_253411.1	41	0.165323	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414688.1	GCF_000006765.1_ASM676v1|NP_253409.1	9	0.020000	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414690.4	GCF_000006765.1_ASM676v1|NP_252650.1	35	0.021875	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414691.1	GCF_000006765.1_ASM676v1|NP_253388.1	14	0.008799	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414692.1	GCF_000006765.1_ASM676v1|NP_251156.1	13	0.008420	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414692.1	GCF_000006765.1_ASM676v1|NP_249161.1	7	0.004569	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414693.1	GCF_000006765.1_ASM676v1|NP_253394.1	11	0.022044	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414693.1	GCF_000006765.1_ASM676v1|NP_252913.1	9	0.011029	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414693.1	GCF_000006765.1_ASM676v1|NP_250498.1	7	0.008997	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414693.1	GCF_000006765.1_ASM676v1|NP_251677.1	7	0.014737	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414693.1	GCF_000006765.1_ASM676v1|NP_250030.1	6	0.012170	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414693.1	GCF_000006765.1_ASM676v1|NP_250116.1	6	0.007624	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414696.1	GCF_000006765.1_ASM676v1|NP_252666.1	87	0.115079	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414698.1	GCF_000006765.1_ASM676v1|NP_249356.1	19	0.094527	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414702.1	GCF_000006765.1_ASM676v1|NP_249815.1	33	0.034375	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414702.1	GCF_000006765.1_ASM676v1|NP_251733.1	11	0.011866	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414703.1	GCF_000006765.1_ASM676v1|NP_253136.1	14	0.016687	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414709.1	GCF_000006765.1_ASM676v1|NP_252348.1	28	0.015982	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414710.1	GCF_000006765.1_ASM676v1|NP_252347.1	33	0.068465	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414710.1	GCF_000006765.1_ASM676v1|NP_251438.1	22	0.044715	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414711.1	GCF_000006765.1_ASM676v1|NP_252346.1	74	0.183623	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414712.1	GCF_000006765.1_ASM676v1|NP_252345.1	21	0.038817	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414713.1	GCF_000006765.1_ASM676v1|NP_252344.1	56	0.133333	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414714.1	GCF_000006765.1_ASM676v1|NP_252343.1	16	0.046512	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414715.1	GCF_000006765.1_ASM676v1|NP_252340.1	41	0.055182	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414716.1	GCF_000006765.1_ASM676v1|NP_252342.1	27	0.057816	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414717.2	GCF_000006765.1_ASM676v1|NP_252341.1	11	0.020561	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414718.1	GCF_000006765.1_ASM676v1|NP_252339.1	25	0.028902	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414719.1	GCF_000006765.1_ASM676v1|NP_252338.1	14	0.008844	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414723.1	GCF_000006765.1_ASM676v1|NP_252334.1	7	0.013917	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414724.1	GCF_000006765.1_ASM676v1|NP_252333.1	20	0.027397	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414725.1	GCF_000006765.1_ASM676v1|NP_252332.1	39	0.111429	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414726.1	GCF_000006765.1_ASM676v1|NP_252330.1	175	0.081471	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414727.1	GCF_000006765.1_ASM676v1|NP_252329.1	69	0.124101	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414728.1	GCF_000006765.1_ASM676v1|NP_250509.1	18	0.012535	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414730.1	GCF_000006765.1_ASM676v1|NP_252328.1	13	0.015276	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414733.1	GCF_000006765.1_ASM676v1|NP_249559.1	9	0.034884	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414736.1	GCF_000006765.1_ASM676v1|NP_249647.1	108	0.105366	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414737.1	GCF_000006765.1_ASM676v1|NP_252078.1	9	0.020134	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414741.1	GCF_000006765.1_ASM676v1|NP_254190.1	25	0.038880	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414741.1	GCF_000006765.1_ASM676v1|NP_251040.1	24	0.035398	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414741.1	GCF_000006765.1_ASM676v1|NP_252881.1	8	0.013986	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414741.1	GCF_000006765.1_ASM676v1|NP_249804.1	7	0.007659	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414741.1	GCF_000006765.1_ASM676v1|NP_249583.1	7	0.012069	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414741.1	GCF_000006765.1_ASM676v1|NP_249947.1	7	0.012367	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414741.1	GCF_000006765.1_ASM676v1|NP_250030.1	7	0.012281	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414741.1	GCF_000006765.1_ASM676v1|NP_251616.1	7	0.012048	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414741.1	GCF_000006765.1_ASM676v1|NP_251918.1	6	0.006403	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414741.1	GCF_000006765.1_ASM676v1|NP_253761.1	6	0.010508	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414743.1	GCF_000006765.1_ASM676v1|NP_252856.1	33	0.066532	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414746.1	GCF_000006765.1_ASM676v1|NP_251809.2	12	0.027397	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414748.1	GCF_000006765.1_ASM676v1|NP_250504.1	19	0.039583	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414750.1	GCF_000006765.1_ASM676v1|NP_250506.1	12	0.042705	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414751.1	GCF_000006765.1_ASM676v1|NP_250507.1	18	0.039046	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414754.1	GCF_000006765.1_ASM676v1|NP_252486.1	16	0.032389	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414756.2	GCF_000006765.1_ASM676v1|NP_251505.1	33	0.020807	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414757.1	GCF_000006765.1_ASM676v1|NP_253115.1	9	0.024324	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414758.1	GCF_000006765.1_ASM676v1|NP_249998.1	27	0.056842	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414763.1	GCF_000006765.1_ASM676v1|NP_249845.1	11	0.034268	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414766.1	GCF_000006765.1_ASM676v1|NP_249614.1	16	0.023739	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414778.1	GCF_000006765.1_ASM676v1|NP_252696.1	14	0.017199	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414794.4	GCF_000006765.1_ASM676v1|NP_253668.1	21	0.023179	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414794.4	GCF_000006765.1_ASM676v1|NP_253318.1	9	0.009626	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414796.2	GCF_000006765.1_ASM676v1|NP_248897.1	19	0.027576	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414796.2	GCF_000006765.1_ASM676v1|NP_249017.1	17	0.025373	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414796.2	GCF_000006765.1_ASM676v1|NP_252228.1	16	0.023460	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414796.2	GCF_000006765.1_ASM676v1|NP_251877.1	16	0.022599	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414796.2	GCF_000006765.1_ASM676v1|NP_252297.1	15	0.021866	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414796.2	GCF_000006765.1_ASM676v1|NP_249294.1	14	0.020202	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414796.2	GCF_000006765.1_ASM676v1|NP_251944.1	14	0.021374	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414796.2	GCF_000006765.1_ASM676v1|NP_251031.1	9	0.012876	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414796.2	GCF_000006765.1_ASM676v1|NP_248993.1	8	0.011204	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414796.2	GCF_000006765.1_ASM676v1|NP_252580.1	8	0.011158	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414807.1	GCF_000006765.1_ASM676v1|NP_253859.1	32	0.050955	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414819.1	GCF_000006765.1_ASM676v1|NP_250622.1	29	0.047697	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414820.1	GCF_000006765.1_ASM676v1|NP_250621.1	18	0.048518	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414822.1	GCF_000006765.1_ASM676v1|NP_251899.1	7	0.032558	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414845.1	GCF_000006765.1_ASM676v1|NP_254059.1	168	0.178914	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_414845.1	GCF_000006765.1_ASM676v1|NP_252789.1	12	0.010979	Escherichia coli	Pseudomonas aeruginosa
