u	species	component_id	score	deg_xsp	n_species	max_z	top5_mean_z	max_species_fraction	species_entropy_norm	betweenness	clustering_coeff
GCF_000220625.1_ASM22062v1|WP_013998433.1	Capnocytophaga canimorsus	32	7.926816	20	7	3.853046	3.549811	0.350000	0.926712		0.105263
GCF_000007925.1_ASM792v1|WP_006042265.1	Prochlorococcus marinus	8	7.918044	10	5	3.030705	3.030705	0.200000	1.000000		0.266667
GCF_000015665.1_ASM1566v1|WP_011820987.1	Prochlorococcus marinus	8	7.918044	10	5	2.641772	2.641772	0.200000	1.000000		0.266667
GCF_000009925.1_ASM992v1|WP_005675419.1	Bacteroides fragilis	5	7.628063	10	6	14.832261	11.690309	0.200000	0.975615		0.733333
GCF_000025985.1_ASM2598v1|WP_005675419.1	Bacteroides fragilis	5	7.628063	10	6	14.832261	11.690309	0.200000	0.975615		0.733333
GCF_000172575.2_ASM17257v2|WP_002389727.1	Enterococcus faecalis	8	7.618344	22	11	12.365478	7.740537	0.090909	1.000000		0.329004
GCF_000011865.1_ASM1186v1|WP_002782934.1	Campylobacter jejuni	5	7.557301	16	8	11.892106	9.656286	0.125000	1.000000		0.266667
GCF_000009085.1_ASM908v1|YP_002343925.1	Campylobacter jejuni	5	7.557301	16	8	11.892106	9.656286	0.125000	1.000000		0.266667
GCF_009035845.1_ASM903584v1|WP_001072861.1	Acinetobacter baumannii	41	7.389529	27	14	10.863659	9.925907	0.074074	0.995947		0.393162
GCF_000220625.1_ASM22062v1|WP_013996552.1	Capnocytophaga canimorsus	5	7.295480	16	8	11.550530	10.693941	0.125000	1.000000		0.400000
GCF_002302565.1_ASM230256v1|WP_013996552.1	Capnocytophaga canimorsus	5	7.295480	16	8	11.550530	10.693941	0.125000	1.000000		0.400000
GCF_000009685.1_ASM968v1|WP_003452165.1	Clostridium perfringens	5	7.113504	10	6	6.663594	4.635333	0.200000	0.975615		0.488889
GCF_016027375.1_ASM1602737v1|WP_003452165.1	Clostridium perfringens	5	7.113504	10	6	6.663594	4.635333	0.200000	0.975615		0.488889
GCF_000016645.1_ASM1664v1|WP_012023679.1	Flavobacterium johnsoniae	41	6.752574	24	12	14.407474	9.516083	0.083333	1.000000		0.373188
GCF_000008285.1_ASM828v1|WP_003720929.1	Listeria monocytogenes	2	6.722361	22	11	11.022882	6.823618	0.090909	1.000000		0.320346
GCF_000008345.1_ASM834v1|WP_002514884.1	Cutibacterium acnes	5	6.690600	14	8	15.032730	13.925067	0.142857	0.983404		0.582418
GCF_006739385.1_ASM673938v1|WP_002514884.1	Cutibacterium acnes	5	6.690600	14	8	15.032730	13.925067	0.142857	0.983404		0.582418
GCF_000007925.1_ASM792v1|WP_011125741.1	Prochlorococcus marinus	23	6.658214	10	5	4.704829	4.482839	0.200000	1.000000		0.266667
GCF_000021345.1_ASM2134v1|WP_003547537.1	Rhizobium leguminosarum	5	6.586359	10	5	9.902175	7.737424	0.200000	1.000000		0.533333
GCF_000517605.1_ASM51760v1|WP_003547537.1	Rhizobium leguminosarum	5	6.586359	10	5	9.902175	7.737424	0.200000	1.000000		0.533333
GCF_000009885.1_ASM988v1|WP_002914327.1	Klebsiella pneumoniae	113	6.567129	5	3	6.786376	6.165796	0.400000	0.960230		0.400000
GCF_000007525.1_ASM752v1|WP_003813881.1	Bifidobacterium longum	5	6.551035	19	10	9.348321	8.169867	0.105263	0.993567		0.257310
GCF_000007685.1_ASM768v1|WP_001032431.1	Leptospira interrogans	23	6.529058	10	6	4.795468	4.331245	0.200000	0.975615		0.244444
GCF_002073495.2_ASM207349v2|WP_001032431.1	Leptospira interrogans	23	6.529058	10	6	4.795468	4.331245	0.200000	0.975615		0.244444
GCF_000006945.2_ASM694v2|NP_460990.1	Salmonella enterica	139	6.409517	10	3	3.734017	2.926906	0.600000	0.864974		0.533333
GCF_000007545.1_ASM754v1|WP_001057755.1	Salmonella enterica	139	6.409517	10	3	3.734017	2.926906	0.600000	0.864974		0.533333
GCF_000006645.1_ASM664v1|WP_002212211.1	Yersinia pestis	113	6.401705	5	3	14.844270	11.185312	0.400000	0.960230		0.700000
GCF_030388325.1_ASM3038832v1|WP_289879678.1	Flavobacterium johnsoniae	41	6.247060	22	12	14.106821	9.395822	0.090909	0.990342		0.376623
GCF_000006765.1_ASM676v1|NP_253660.1	Pseudomonas aeruginosa	41	6.232798	23	12	14.795506	8.220312	0.086957	0.995001		0.312253
GCF_000010065.1_ASM1006v1|WP_011243210.1	Synechococcus elongatus	59	6.157942	20	11	12.948330	10.499223	0.100000	0.989159		0.294737
GCF_000009765.2_ASM976v2|WP_003948652.1	Streptomyces avermitilis	5	6.068657	21	11	9.111930	8.485653	0.095238	0.994365		0.409524
GCF_000007105.1_ASM710v1|WP_011240421.1	Zymomonas mobilis	11	6.045473	13	6	8.345562	6.581055	0.230769	0.969987		0.397436
GCF_000498655.1_ASM49865v1|WP_011240421.1	Zymomonas mobilis	11	6.045473	13	6	8.345562	6.581055	0.230769	0.969987		0.397436
GCF_000196035.1_ASM19603v1|NP_466133.1	Listeria monocytogenes	2	5.948669	20	10	11.022882	6.823618	0.100000	1.000000		0.357895
GCF_022984195.1_ASM2298419v1|WP_011243210.1	Synechococcus elongatus	59	5.883875	19	10	12.948330	10.499223	0.105263	0.993567		0.304094
GCF_000007585.1_ASM758v1|WP_004583602.1	Porphyromonas gingivalis	5	5.864309	10	6	11.518924	9.886183	0.200000	0.975615		0.733333
GCF_000006765.1_ASM676v1|NP_249033.1	Pseudomonas aeruginosa	44	5.799176	20	10	3.702939	3.394483	0.100000	1.000000		0.336842
GCF_000007525.1_ASM752v1|WP_011068610.1	Bifidobacterium longum	113	5.782029	12	6	6.035435	5.400681	0.333333	0.935525		0.272727
GCF_000011065.1_ASM1106v1|WP_005675419.1	Bacteroides thetaiotaomicron	5	5.727144	10	6	10.032213	9.745878	0.200000	0.975615		0.733333
GCF_014131755.1_ASM1413175v1|WP_005675419.1	Bacteroides thetaiotaomicron	5	5.727144	10	6	10.032213	9.745878	0.200000	0.975615		0.733333
GCF_000007585.1_ASM758v1|WP_004583599.1	Porphyromonas gingivalis	8	5.702233	10	5	6.205741	5.725383	0.200000	1.000000		0.533333
GCF_000010505.1_ASM1050v1|WP_004583599.1	Porphyromonas gingivalis	8	5.702233	10	5	6.205741	5.725383	0.200000	1.000000		0.533333
GCF_000517605.1_ASM51760v1|WP_025394147.1	Rhizobium leguminosarum	59	5.546270	25	13	9.789566	8.959539	0.080000	0.995518		0.330000
GCF_009035845.1_ASM903584v1|WP_001029610.1	Acinetobacter baumannii	11	5.521424	15	6	3.949622	3.788863	0.266667	0.956650		0.400000
GCF_000007565.2_ASM756v2|WP_003254203.1	Pseudomonas putida	35	5.506679	25	13	7.826112	7.152637	0.080000	0.995518		0.473333
GCF_000412675.1_ASM41267v1|WP_003254203.1	Pseudomonas putida	35	5.506679	25	13	7.826112	7.152637	0.080000	0.995518		0.473333
GCF_000009045.1_ASM904v1|NP_387996.1	Bacillus subtilis	8	5.483631	22	11	8.441755	6.972037	0.090909	1.000000		0.450216
GCF_000186745.1_ASM18674v1|WP_003156464.1	Bacillus subtilis	8	5.483631	22	11	8.441755	6.972037	0.090909	1.000000		0.450216
GCF_000008485.1_ASM848v1|WP_010946066.1	Legionella pneumophila	11	5.445083	25	12	8.345562	7.057528	0.120000	0.980002		0.420000
GCF_000008785.1_ASM878v1|WP_025276242.1	Helicobacter pylori	23	5.434306	10	5	7.450423	4.725942	0.200000	1.000000		0.444444
GCF_025998455.1_ASM2599845v1|WP_001870862.1	Helicobacter pylori	23	5.403465	10	5	7.450423	4.706727	0.200000	1.000000		0.444444
GCF_000203835.1_ASM20383v1|WP_003948644.1	Streptomyces coelicolor	8	5.372339	14	8	12.614537	10.415664	0.142857	0.983404		0.516484
GCF_008931305.1_ASM893130v1|WP_003948644.1	Streptomyces coelicolor	8	5.372339	14	8	12.614537	10.415664	0.142857	0.983404		0.516484
GCF_000006945.2_ASM694v2|NP_462345.1	Salmonella enterica	8	5.270117	24	12	6.852992	6.520453	0.083333	1.000000		0.463768
GCF_000222975.1_ASM22297v1|WP_002212323.1	Yersinia pestis	5	5.257807	10	5	3.717219	3.497252	0.200000	1.000000		0.622222
GCF_000015665.1_ASM1566v1|WP_011820990.1	Prochlorococcus marinus	5	5.145746	12	6	11.585731	8.744291	0.166667	1.000000		0.242424
GCF_000021045.1_ASM2104v1|WP_012703283.1	Azotobacter vinelandii	44	5.097772	18	9	3.822697	3.408562	0.111111	1.000000		0.379085
GCF_000006765.1_ASM676v1|NP_252954.1	Pseudomonas aeruginosa	8	5.066403	23	12	6.852992	6.407863	0.086957	0.995001		0.454545
GCF_000005845.2_ASM584v2|NP_415404.1	Escherichia coli	2	5.052451	20	10	7.940312	7.092751	0.100000	1.000000		0.473684
GCF_000220625.1_ASM22062v1|WP_013996555.1	Capnocytophaga canimorsus	8	5.038755	10	5	5.359051	4.991713	0.200000	1.000000		0.533333
GCF_002302565.1_ASM230256v1|WP_013996555.1	Capnocytophaga canimorsus	8	5.038755	10	5	5.359051	4.991713	0.200000	1.000000		0.533333
GCF_000008285.1_ASM828v1|WP_003720954.1	Listeria monocytogenes	8	4.935491	20	10	8.441755	7.978882	0.100000	1.000000		0.547368
GCF_000196555.1_ASM19655v1|WP_003813881.1	Bifidobacterium longum	5	4.899986	15	8	9.348321	8.169867	0.133333	0.991186		0.323810
GCF_000015665.1_ASM1566v1|WP_011820919.1	Prochlorococcus marinus	23	4.767135	10	6	4.795468	4.568545	0.200000	0.975615		0.488889
GCF_000007845.1_ASM784v1|WP_000814464.1	Bacillus anthracis	41	4.755377	15	8	15.048351	9.664255	0.133333	0.991186		0.400000
GCF_000172575.2_ASM17257v2|WP_002356211.1	Enterococcus faecalis	3	4.739452	24	12	7.978279	6.380821	0.083333	1.000000		0.365942
GCF_000517605.1_ASM51760v1|WP_025395269.1	Rhizobium leguminosarum	44	4.734791	17	9	4.096831	3.819706	0.117647	0.992543		0.463235
GCF_000007825.1_ASM782v1|WP_000814482.1	Bacillus cereus	41	4.731771	16	9	12.174013	9.193582	0.125000	0.985828		0.400000
GCF_000008585.1_ASM858v1|WP_003403584.1	Mycobacterium tuberculosis	4	4.712072	23	13	7.751810	5.659711	0.086957	0.987449		0.332016
GCF_000014625.1_ASM1462v1|WP_003103876.1	Pseudomonas aeruginosa	8	4.694038	22	11	6.852992	6.407863	0.090909	1.000000		0.476190
GCF_000007545.1_ASM754v1|WP_000114639.1	Salmonella enterica	35	4.658208	22	11	7.112089	5.935844	0.090909	1.000000		0.424242
GCF_000006945.2_ASM694v2|NP_459724.1	Salmonella enterica	35	4.643314	24	12	7.715011	6.483594	0.083333	1.000000		0.500000
GCF_000517605.1_ASM51760v1|WP_025396145.1	Rhizobium leguminosarum	113	4.535415	16	7	14.487631	9.088165	0.250000	0.979570		0.250000
GCF_006094295.1_ASM609429v1|WP_000814482.1	Bacillus cereus	41	4.527796	15	8	12.174013	9.193582	0.133333	0.991186		0.400000
GCF_000008585.1_ASM858v1|WP_003418601.1	Mycobacterium tuberculosis	2	4.483124	14	8	12.642435	10.102570	0.142857	0.983404		0.571429
GCF_000007565.2_ASM756v2|WP_003186070.1	Pseudomonas putida	8	4.478971	20	10	6.942024	6.538036	0.100000	1.000000		0.473684
GCF_000008805.1_ASM880v1|WP_002215366.1	Neisseria meningitidis	11	4.402548	23	11	6.198839	5.696401	0.130435	0.986995		0.351779
GCF_000012125.1_ASM1212v1|WP_009871669.1	Chlamydia trachomatis	11	4.392175	9	5	2.348726	2.348726	0.333333	0.946265		0.500000
GCF_000007785.1_ASM778v1|WP_002356211.1	Enterococcus faecalis	3	4.387458	23	12	7.978279	6.380821	0.086957	0.995001		0.395257
GCF_000021345.1_ASM2134v1|WP_003547547.1	Rhizobium leguminosarum	8	4.372396	12	7	12.365478	8.256525	0.166667	0.980150		0.409091
GCF_000517605.1_ASM51760v1|WP_003547547.1	Rhizobium leguminosarum	8	4.372396	12	7	12.365478	8.256525	0.166667	0.980150		0.409091
GCF_000007785.1_ASM778v1|WP_002356224.1	Enterococcus faecalis	2	4.355698	21	11	5.321403	5.022715	0.095238	0.994365		0.400000
GCF_000007845.1_ASM784v1|WP_001040594.1	Bacillus anthracis	8	4.318933	10	6	7.321031	4.557041	0.200000	0.975615		0.600000
GCF_001941585.1_ASM194158v1|WP_010946066.1	Legionella pneumophila	11	4.296186	20	9	8.345562	7.057528	0.150000	0.980684		0.463158
GCF_000007545.1_ASM754v1|WP_001181005.1	Salmonella enterica	8	4.285052	20	10	6.852992	6.520453	0.100000	1.000000		0.494737
GCF_000016645.1_ASM1664v1|WP_012025391.1	Flavobacterium johnsoniae	564	4.252787	10	5	5.750378	4.370379	0.200000	1.000000		0.000000
GCF_000008865.2_ASM886v2|NP_312217.1	Escherichia coli	11	4.248348	11	4	3.547725	2.162967	0.363636	0.933817		0.654545
GCF_000008865.2_ASM886v2|NP_312930.1	Escherichia coli	11	4.248348	11	4	3.547725	2.125651	0.363636	0.933817		0.654545
GCF_000009045.1_ASM904v1|NP_391815.1	Bacillus subtilis	90	4.244883	6	4	3.005037	2.463426	0.333333	0.959148		0.666667
GCF_000014625.1_ASM1462v1|WP_003087428.1	Pseudomonas aeruginosa	35	4.231902	25	13	6.881381	5.476952	0.080000	0.995518		0.480000
GCF_000009925.1_ASM992v1|WP_005785885.1	Bacteroides fragilis	64	4.230439	20	13	9.694021	6.175824	0.100000	0.978783		0.336842
GCF_000203835.1_ASM20383v1|WP_011027069.1	Streptomyces coelicolor	64	4.203464	22	12	9.694021	6.849070	0.090909	0.990342		0.432900
GCF_008931305.1_ASM893130v1|WP_011027069.1	Streptomyces coelicolor	64	4.203464	22	12	9.694021	6.849070	0.090909	0.990342		0.432900
GCF_000380335.1_ASM38033v1|WP_012703283.1	Azotobacter vinelandii	44	4.191349	16	8	3.822697	3.408562	0.125000	1.000000		0.450000
GCF_000010505.1_ASM1050v1|WP_012458581.1	Porphyromonas gingivalis	5	4.171047	10	6	9.516166	8.154162	0.200000	0.975615		0.733333
GCF_000011865.1_ASM1186v1|WP_002852005.1	Campylobacter jejuni	23	4.162924	11	7	6.466791	4.734935	0.181818	0.973215		0.327273
GCF_000016645.1_ASM1664v1|WP_007136570.1	Flavobacterium johnsoniae	5	4.124146	12	6	11.518924	10.375050	0.166667	1.000000		0.545455
GCF_030388325.1_ASM3038832v1|WP_007136570.1	Flavobacterium johnsoniae	5	4.124146	12	6	11.518924	10.375050	0.166667	1.000000		0.545455
GCF_000009805.1_ASM980v1|WP_003418601.1	Nocardia farcinica	2	4.093957	14	8	12.642435	9.172493	0.142857	0.983404		0.571429
GCF_000021045.1_ASM2104v1|WP_012699289.1	Azotobacter vinelandii	11	4.093093	25	11	5.380444	5.317114	0.120000	0.983709		0.380000
GCF_000380335.1_ASM38033v1|WP_012699289.1	Azotobacter vinelandii	11	4.093093	25	11	5.380444	5.317114	0.120000	0.983709		0.380000
GCF_000025985.1_ASM2598v1|WP_005785885.1	Bacteroides fragilis	64	4.085995	19	12	9.694021	6.175824	0.105263	0.979393		0.339181
GCF_000006745.1_ASM674v1|WP_000201237.1	Vibrio cholerae	5	4.084137	19	10	9.500457	7.784767	0.105263	0.993567		0.491228
GCF_008369605.1_ASM836960v1|WP_000201237.1	Vibrio cholerae	5	4.084137	19	10	9.500457	7.784767	0.105263	0.993567		0.491228
GCF_000014625.1_ASM1462v1|WP_003095958.1	Pseudomonas aeruginosa	90	4.069532	29	15	5.726821	5.122433	0.103448	0.989645		0.266010
GCF_000014565.1_ASM1456v1|WP_003418601.1	Rhodococcus jostii	2	4.056029	14	7	12.400449	9.605827	0.142857	1.000000		0.593407
GCF_000007785.1_ASM778v1|WP_002356194.1	Enterococcus faecalis	11	4.029423	20	10	11.634102	8.034863	0.100000	1.000000		0.568421
GCF_009035845.1_ASM903584v1|WP_000246374.1	Acinetobacter baumannii	5	4.020676	10	5	5.747847	4.675524	0.200000	1.000000		0.711111
GCF_000018445.1_ASM1844v1|WP_000246374.1	Acinetobacter baumannii	5	4.020676	10	5	5.747847	4.675524	0.200000	1.000000		0.711111
GCF_000063585.1_ASM6358v1|WP_003357676.1	Clostridium botulinum	5	4.020676	10	6	8.719565	7.652708	0.200000	0.975615		0.711111
GCF_000017025.1_ASM1702v1|WP_003357676.1	Clostridium botulinum	5	4.020676	10	6	8.719565	7.652708	0.200000	0.975615		0.711111
GCF_000009005.1_ASM900v1|WP_001142337.1	Staphylococcus aureus	5	4.020676	10	5	5.242871	4.611839	0.200000	1.000000		0.711111
GCF_000013425.1_ASM1342v1|YP_499099.1	Staphylococcus aureus	5	4.020676	10	5	5.242871	4.611839	0.200000	1.000000		0.711111
GCF_000006765.1_ASM676v1|NP_252272.1	Pseudomonas aeruginosa	94	4.010739	13	7	20.963778	9.342399	0.153846	0.989317		0.333333
GCF_000014625.1_ASM1462v1|WP_003092168.1	Pseudomonas aeruginosa	94	4.010739	13	7	20.963778	9.342399	0.153846	0.989317		0.333333
GCF_000008805.1_ASM880v1|WP_002221846.1	Neisseria meningitidis	11	4.010532	20	10	6.198839	5.696401	0.150000	0.988638		0.347368
GCF_000006645.1_ASM664v1|WP_002211347.1	Yersinia pestis	2	3.999290	20	10	6.534115	6.164401	0.100000	1.000000		0.526316
GCF_000195955.2_ASM19595v2|NP_217979.1	Mycobacterium tuberculosis	2	3.996053	12	7	12.642435	10.102570	0.166667	0.980150		0.575758
GCF_000172575.2_ASM17257v2|WP_002356224.1	Enterococcus faecalis	2	3.990555	20	10	5.321403	5.022715	0.100000	1.000000		0.431579
GCF_000007125.1_ASM712v1|WP_002965531.1	Brucella melitensis	2	3.979600	9	5	6.300807	3.084759	0.222222	0.982389		0.500000
GCF_000022625.1_ASM2262v1|WP_002965531.1	Brucella melitensis	2	3.979600	9	5	6.300807	3.084759	0.222222	0.982389		0.500000
GCF_000021345.1_ASM2134v1|WP_003545338.1	Rhizobium leguminosarum	2	3.979600	9	5	6.300807	3.061495	0.222222	0.982389		0.500000
GCF_000517605.1_ASM51760v1|WP_003545338.1	Rhizobium leguminosarum	2	3.979600	9	5	6.300807	3.061495	0.222222	0.982389		0.500000
GCF_000196555.1_ASM19655v1|WP_013583034.1	Bifidobacterium longum	113	3.966465	12	6	5.380107	4.903153	0.333333	0.935525		0.439394
GCF_000009765.2_ASM976v2|WP_003948644.1	Streptomyces avermitilis	8	3.952104	17	9	8.948079	7.792368	0.117647	0.992543		0.573529
GCF_000009885.1_ASM988v1|WP_001181005.1	Klebsiella pneumoniae	8	3.948270	20	10	6.942024	6.219345	0.100000	1.000000		0.505263
GCF_000007205.1_ASM720v1|WP_010882724.1	Chlamydia pneumoniae	11	3.938926	10	4	2.348726	2.348726	0.300000	0.985475		0.400000
GCF_000008745.1_ASM874v1|WP_010882724.1	Chlamydia pneumoniae	11	3.938926	10	4	2.348726	2.348726	0.300000	0.985475		0.400000
GCF_000011065.1_ASM1106v1|WP_008761063.1	Bacteroides thetaiotaomicron	44	3.926043	11	6	3.822697	2.550995	0.181818	0.986606		0.145455
GCF_000186745.1_ASM18674v1|WP_041520474.1	Bacillus subtilis	44	3.887930	9	6	7.856018	4.792787	0.222222	0.968393		0.472222
GCF_000011065.1_ASM1106v1|WP_004296340.1	Bacteroides thetaiotaomicron	3	3.886817	8	4	3.770753	2.180090	0.250000	1.000000		0.714286
GCF_000025985.1_ASM2598v1|WP_004296340.1	Bacteroides fragilis	3	3.886817	8	4	3.770753	2.117344	0.250000	1.000000		0.714286
GCF_014131755.1_ASM1413175v1|WP_004296340.1	Bacteroides thetaiotaomicron	3	3.886817	8	4	3.770753	2.180090	0.250000	1.000000		0.714286
GCF_000193595.2_ASM19359v3|WP_003807313.1	Bordetella pertussis	191	3.859650	18	9	3.798391	2.767656	0.111111	1.000000		0.196078
GCF_004008975.1_ASM400897v1|WP_003807313.1	Bordetella pertussis	191	3.859650	18	9	3.798391	2.767656	0.111111	1.000000		0.196078
GCF_000018445.1_ASM1844v1|WP_000214184.1	Acinetobacter baumannii	90	3.824643	26	13	5.726821	5.497813	0.115385	0.992154		0.310769
GCF_009035845.1_ASM903584v1|WP_000214181.1	Acinetobacter baumannii	90	3.824643	26	13	5.726821	5.497813	0.115385	0.992154		0.310769
GCF_000014625.1_ASM1462v1|WP_003097130.1	Pseudomonas aeruginosa	23	3.814329	20	10	6.330632	5.231995	0.100000	1.000000		0.421053
GCF_000007125.1_ASM712v1|WP_004684648.1	Brucella melitensis	59	3.802626	20	11	12.948330	7.843087	0.100000	0.989159		0.373684
GCF_000007645.1_ASM764v1|WP_001829710.1	Staphylococcus epidermidis	4	3.792145	23	13	6.393351	4.387612	0.086957	0.987449		0.280632
GCF_000006945.2_ASM694v2|NP_459929.1	Salmonella enterica	2	3.783079	18	9	7.552729	7.070284	0.111111	1.000000		0.575163
GCF_000017445.4_ASM1744v3|WP_004997779.1	Rickettsia rickettsii	11	3.764689	11	6	4.396314	3.637100	0.272727	0.960058		0.527273
GCF_000018225.1_ASM1822v1|WP_004997779.1	Rickettsia rickettsii	11	3.764689	11	6	4.396314	3.637100	0.272727	0.960058		0.527273
GCF_000007645.1_ASM764v1|WP_000048060.1	Staphylococcus epidermidis	62	3.758384	21	11	13.523506	11.408868	0.095238	0.994365		0.547619
GCF_000203835.1_ASM20383v1|WP_011030269.1	Streptomyces coelicolor	82	3.733143	20	8	11.489643	6.365710	0.300000	0.915480		0.152632
GCF_008931305.1_ASM893130v1|WP_011030269.1	Streptomyces coelicolor	82	3.733143	20	8	11.489643	6.365710	0.300000	0.915480		0.152632
GCF_000016645.1_ASM1664v1|WP_012023550.1	Flavobacterium johnsoniae	44	3.725101	14	7	4.209533	2.445865	0.142857	1.000000		0.274725
GCF_000009045.1_ASM904v1|NP_389486.2	Bacillus subtilis	47	3.714533	29	15	7.029524	5.521777	0.068966	0.996307		0.266010
GCF_000007565.2_ASM756v2|WP_002553999.1	Pseudomonas putida	2	3.707245	18	9	8.554940	8.285024	0.111111	1.000000		0.640523
GCF_000412675.1_ASM41267v1|WP_016502006.1	Pseudomonas putida	90	3.677664	12	6	5.402576	4.744424	0.250000	0.975664		0.560606
GCF_000011325.1_ASM1132v1|WP_011014273.1	Corynebacterium glutamicum	41	3.657554	9	5	4.530243	3.654557	0.222222	0.982389		0.277778
GCF_000006645.1_ASM664v1|WP_001181005.1	Yersinia pestis	8	3.649549	21	11	6.377315	6.082523	0.095238	0.994365		0.547619
GCF_001182745.1_NCTC11134|WP_003418601.1	Nocardia farcinica	2	3.649167	12	7	12.642435	9.172493	0.166667	0.980150		0.575758
